;Unnamed: 0;COMPANY;DATE;OPEN;CLOSE
1916;100755;TATN;2013-04-09;198.01;198.35
1917;100756;TATN;2013-04-10;198.35;194.99
1918;100757;TATN;2013-04-11;196.0;190.81
1919;100758;TATN;2013-04-12;190.03;190.2
1920;100758;TATN;2013-04-13;190.03;190.2
1921;100758;TATN;2013-04-14;190.03;190.2
1922;100759;TATN;2013-04-15;189.0;185.5
1923;100760;TATN;2013-04-16;182.98;182.3
1924;100761;TATN;2013-04-17;182.74;179.77
1925;100762;TATN;2013-04-18;179.36;177.0
1926;100763;TATN;2013-04-19;177.89;176.29
1927;100763;TATN;2013-04-20;177.89;176.29
1928;100763;TATN;2013-04-21;177.89;176.29
1929;100764;TATN;2013-04-22;176.86;179.5
1930;100765;TATN;2013-04-23;178.0;176.41
1931;100766;TATN;2013-04-24;176.41;190.78
1932;100767;TATN;2013-04-25;190.98;195.71
1933;100768;TATN;2013-04-26;195.0;196.96
1934;100768;TATN;2013-04-27;195.0;196.96
1935;100768;TATN;2013-04-28;195.0;196.96
1936;100769;TATN;2013-04-29;196.47;193.55
1937;100770;TATN;2013-04-30;193.61;199.23
1938;100770;TATN;2013-05-01;193.61;199.23
1939;100771;TATN;2013-05-02;199.91;193.76
1940;100772;TATN;2013-05-03;195.31;200.99
1941;100772;TATN;2013-05-04;195.31;200.99
1942;100772;TATN;2013-05-05;195.31;200.99
1943;100773;TATN;2013-05-06;201.3;205.75
1944;100774;TATN;2013-05-07;205.75;204.98
1945;100775;TATN;2013-05-08;204.96;206.5
1946;100775;TATN;2013-05-09;204.96;206.5
1947;100776;TATN;2013-05-10;206.3;210.45
1948;100776;TATN;2013-05-11;206.3;210.45
1949;100776;TATN;2013-05-12;206.3;210.45
1950;100777;TATN;2013-05-13;209.1;208.0
1951;100778;TATN;2013-05-14;200.63;201.99
1952;100779;TATN;2013-05-15;202.29;199.77
1953;100780;TATN;2013-05-16;199.71;190.25
1954;100781;TATN;2013-05-17;190.87;201.85
1955;100781;TATN;2013-05-18;190.87;201.85
1956;100781;TATN;2013-05-19;190.87;201.85
1957;100782;TATN;2013-05-20;200.78;200.02
1958;100783;TATN;2013-05-21;199.58;206.4
1959;100784;TATN;2013-05-22;206.72;210.54
1960;100785;TATN;2013-05-23;207.38;203.6
1961;100786;TATN;2013-05-24;204.78;199.12
1962;100786;TATN;2013-05-25;204.78;199.12
1963;100786;TATN;2013-05-26;204.78;199.12
1964;100787;TATN;2013-05-27;200.67;198.45
1965;100788;TATN;2013-05-28;199.2;201.23
1966;100789;TATN;2013-05-29;201.22;190.87
1967;100790;TATN;2013-05-30;191.2;188.3
1968;100791;TATN;2013-05-31;190.0;180.42
1969;100791;TATN;2013-06-01;190.0;180.42
1970;100791;TATN;2013-06-02;190.0;180.42
1971;100792;TATN;2013-06-03;180.39;177.42
1972;100793;TATN;2013-06-04;178.51;182.73
1973;100794;TATN;2013-06-05;182.0;175.95
1974;100795;TATN;2013-06-06;175.0;170.25
1975;100796;TATN;2013-06-07;172.87;182.21
1976;100796;TATN;2013-06-08;172.87;182.21
1977;100796;TATN;2013-06-09;172.87;182.21
1978;100797;TATN;2013-06-10;184.6;179.5
1979;100798;TATN;2013-06-11;177.51;171.52
1980;100798;TATN;2013-06-12;177.51;171.52
1981;100799;TATN;2013-06-13;167.21;168.4
1982;100800;TATN;2013-06-14;170.49;173.97
1983;100800;TATN;2013-06-15;170.49;173.97
1984;100800;TATN;2013-06-16;170.49;173.97
1985;100801;TATN;2013-06-17;173.2;185.0
1986;100802;TATN;2013-06-18;184.3;187.0
1987;100803;TATN;2013-06-19;187.47;186.5
1988;100804;TATN;2013-06-20;182.3;182.71
1989;100805;TATN;2013-06-21;181.52;181.4
1990;100805;TATN;2013-06-22;181.52;181.4
1991;100805;TATN;2013-06-23;181.52;181.4
1992;100806;TATN;2013-06-24;180.6;184.18
1993;100807;TATN;2013-06-25;184.67;186.6
1994;100808;TATN;2013-06-26;186.82;188.39
1995;100809;TATN;2013-06-27;189.36;187.41
1996;100810;TATN;2013-06-28;187.93;196.45
1997;100810;TATN;2013-06-29;187.93;196.45
1998;100810;TATN;2013-06-30;187.93;196.45
1999;100811;TATN;2013-07-01;196.0;197.46
2000;100812;TATN;2013-07-02;197.46;202.0
2001;100813;TATN;2013-07-03;200.24;197.04
2002;100814;TATN;2013-07-04;198.76;196.28
2003;100815;TATN;2013-07-05;196.9;194.82
2004;100815;TATN;2013-07-06;196.9;194.82
2005;100815;TATN;2013-07-07;196.9;194.82
2006;100816;TATN;2013-07-08;195.37;194.48
2007;100817;TATN;2013-07-09;195.41;192.65
2008;100818;TATN;2013-07-10;192.65;190.64
2009;100819;TATN;2013-07-11;192.85;198.15
2010;100820;TATN;2013-07-12;198.15;204.2
2011;100820;TATN;2013-07-13;198.15;204.2
2012;100820;TATN;2013-07-14;198.15;204.2
2013;100821;TATN;2013-07-15;204.25;207.0
2014;100822;TATN;2013-07-16;206.6;205.61
2015;100823;TATN;2013-07-17;205.48;211.0
2016;100824;TATN;2013-07-18;210.69;210.75
2017;100825;TATN;2013-07-19;210.04;211.52
2018;100825;TATN;2013-07-20;210.04;211.52
2019;100825;TATN;2013-07-21;210.04;211.52
2020;100826;TATN;2013-07-22;213.13;210.0
2021;100827;TATN;2013-07-23;211.47;211.2
2022;100828;TATN;2013-07-24;210.2;206.08
2023;100829;TATN;2013-07-25;205.8;207.0
2024;100830;TATN;2013-07-26;206.63;203.81
2025;100830;TATN;2013-07-27;206.63;203.81
2026;100830;TATN;2013-07-28;206.63;203.81
2027;100831;TATN;2013-07-29;204.0;202.97
2028;100832;TATN;2013-07-30;203.59;203.74
2029;100833;TATN;2013-07-31;203.7;202.56
2030;100834;TATN;2013-08-01;203.97;206.68
2031;100835;TATN;2013-08-02;207.0;205.68
2032;100835;TATN;2013-08-03;207.0;205.68
2033;100835;TATN;2013-08-04;207.0;205.68
2034;100836;TATN;2013-08-05;206.1;208.65
2035;100837;TATN;2013-08-06;207.79;200.1
2036;100838;TATN;2013-08-07;200.01;200.5
2037;100839;TATN;2013-08-08;201.6;206.01
2038;100840;TATN;2013-08-09;205.49;206.64
2039;100840;TATN;2013-08-10;205.49;206.64
2040;100840;TATN;2013-08-11;205.49;206.64
2041;100841;TATN;2013-08-12;206.87;206.73
2042;100842;TATN;2013-08-13;207.5;210.44
2043;100843;TATN;2013-08-14;211.0;213.01
2044;100844;TATN;2013-08-15;212.51;204.14
2045;100845;TATN;2013-08-16;205.25;202.93
2046;100845;TATN;2013-08-17;205.25;202.93
2047;100845;TATN;2013-08-18;205.25;202.93
2048;100846;TATN;2013-08-19;203.6;207.32
2049;100847;TATN;2013-08-20;206.65;207.72
2050;100848;TATN;2013-08-21;207.7;208.3
2051;100849;TATN;2013-08-22;207.27;209.56
2052;100850;TATN;2013-08-23;209.69;209.71
2053;100850;TATN;2013-08-24;209.69;209.71
2054;100850;TATN;2013-08-25;209.69;209.71
2055;100851;TATN;2013-08-26;210.6;209.0
2056;100852;TATN;2013-08-27;208.3;205.24
2057;100853;TATN;2013-08-28;205.5;202.54
2058;100854;TATN;2013-08-29;203.04;205.19
2059;100855;TATN;2013-08-30;205.0;208.74
2060;100855;TATN;2013-08-31;205.0;208.74
2061;100855;TATN;2013-09-01;205.0;208.74
2062;100856;TATN;2013-09-02;209.5;207.5
2063;100857;TATN;2013-09-03;208.0;207.32
2064;100858;TATN;2013-09-04;206.82;207.99
2065;100859;TATN;2013-09-05;207.93;213.65
2066;100860;TATN;2013-09-06;212.84;216.92
2067;100860;TATN;2013-09-07;212.84;216.92
2068;100860;TATN;2013-09-08;212.84;216.92
2069;100861;TATN;2013-09-09;218.51;220.0
2070;100862;TATN;2013-09-10;219.57;221.85
2071;100863;TATN;2013-09-11;222.13;221.64
2072;100864;TATN;2013-09-12;221.33;219.0
2073;100865;TATN;2013-09-13;218.34;219.38
2074;100865;TATN;2013-09-14;218.34;219.38
2075;100865;TATN;2013-09-15;218.34;219.38
2076;100866;TATN;2013-09-16;220.0;221.65
2077;100867;TATN;2013-09-17;221.0;223.0
2078;100868;TATN;2013-09-18;223.56;220.45
2079;100869;TATN;2013-09-19;223.02;223.3
2080;100870;TATN;2013-09-20;223.23;225.62
2081;100870;TATN;2013-09-21;223.23;225.62
2082;100870;TATN;2013-09-22;223.23;225.62
2083;100871;TATN;2013-09-23;224.63;220.83
2084;100872;TATN;2013-09-24;219.77;219.0
2085;100873;TATN;2013-09-25;219.39;217.34
2086;100874;TATN;2013-09-26;218.0;215.68
2087;100875;TATN;2013-09-27;215.68;216.4
2088;100875;TATN;2013-09-28;215.68;216.4
2089;100875;TATN;2013-09-29;215.68;216.4
2090;100876;TATN;2013-09-30;215.01;212.92
2091;100877;TATN;2013-10-01;212.19;213.45
2092;100878;TATN;2013-10-02;213.99;208.21
2093;100879;TATN;2013-10-03;208.7;209.05
2094;100880;TATN;2013-10-04;209.05;211.25
2095;100880;TATN;2013-10-05;209.05;211.25
2096;100880;TATN;2013-10-06;209.05;211.25
2097;100881;TATN;2013-10-07;210.01;210.24
2098;100882;TATN;2013-10-08;210.24;215.18
2099;100883;TATN;2013-10-09;214.37;214.33
2100;100884;TATN;2013-10-10;214.44;218.44
2101;100885;TATN;2013-10-11;219.0;217.81
2102;100885;TATN;2013-10-12;219.0;217.81
2103;100885;TATN;2013-10-13;219.0;217.81
